appid,name,has_clear_main_protagonist,protagonist_name,protagonist_type,protagonist_confidence_0_3,primary_archetype,secondary_archetype,tertiary_archetype,archetype_confidence_0_3,archetype_suitability_0_3,shadow_load_0_3,player_projection_0_3,narrative_complexity_0_3,suggested_include_in_final_corpus,exclusion_reason,needs_manual_review,evidence_basis,protagonist_notes,archetype_notes,reason_short,custom_id
400,Portal,yes,Chell,silent_fixed_protagonist,3,Explorer/Seeker,Everyman/Orphan,Hero/Warrior,2,3,0,2,2,yes,none,False,control_seed,Chell is the silent protagonist.,Minimalist escape-and-discovery arc; ordinary outsider framing with strong player projection.,Silent seeker protagonist.,steam-v003-chunk-00001-rows-1-50
379430,Kingdom Come: Deliverance,yes,Henry,fixed_named_single,3,Everyman/Orphan,Hero/Warrior,Explorer/Seeker,3,3,0,2,3,yes,none,False,control_seed,Henry is the fixed protagonist.,An ordinary blacksmith's son pushed into larger events; growth through hardship and travel.,Grounded everyman-to-hero arc.,steam-v003-chunk-00001-rows-1-50
1593500,God of War,yes,Kratos,fixed_dual,3,Shadow/Antihero,Hero/Warrior,Caregiver/Guardian,3,3,3,1,3,yes,none,False,control_seed,Kratos is the central playable character; Atreus is co-central but not equal in most coding contexts.,"Violent, burdened father-figure antihero whose arc combines combat prowess and protection of his son.","Clear central lead, antihero guardian mix.",steam-v003-chunk-00001-rows-1-50
1332010,Stray,yes,Cat,nonhuman_fixed_protagonist,3,Explorer/Seeker,Everyman/Orphan,Innocent,2,3,0,2,2,yes,none,False,control_seed,The playable lead is an unnamed cat.,"A displaced animal navigating an unknown city, emphasizing curiosity, vulnerability, and journeying.",Clear nonhuman seeker protagonist.,steam-v003-chunk-00001-rows-1-50
70,Half-Life,yes,Gordon Freeman,silent_fixed_protagonist,3,Hero/Warrior,Explorer/Seeker,Everyman/Orphan,2,3,0,2,2,yes,none,False,control_seed,Gordon Freeman is the silent protagonist.,Reluctant scientist turned action hero; largely defined by survival and movement through disaster.,Silent heroic protagonist.,steam-v003-chunk-00001-rows-1-50
8870,BioShock Infinite,yes,Booker DeWitt,fixed_named_single,3,Shadow/Antihero,Explorer/Seeker,Sage/Investigator,2,3,2,1,3,yes,none,False,control_seed,Booker DeWitt is the fixed lead.,"Hard-edged, compromised investigator caught in a mystery; seeker and antihero elements dominate.",Strong antihero with investigative arc.,steam-v003-chunk-00001-rows-1-50
524220,NieR:Automata,yes,2B / 9S / A2,fixed_ensemble,3,Explorer/Seeker,Shadow/Antihero,Hero/Warrior,2,3,2,1,3,yes,none,False,control_seed,Story is carried by multiple fixed playable leads across routes.,Ensemble of tragic combatants searching for truth and meaning; identity and transformation are central.,"Multiple fixed protagonists, strong narrative cohesion.",steam-v003-chunk-00001-rows-1-50
1057090,Ori and the Will of the Wisps,yes,Ori,nonhuman_fixed_protagonist,3,Innocent,Hero/Warrior,Explorer/Seeker,2,3,0,2,2,yes,none,False,control_seed,Ori is the fixed nonhuman lead.,"Gentle, childlike spirit with a rescue journey; innocence is primary, with heroic and exploratory traits.",Clear innocent nonhuman protagonist.,steam-v003-chunk-00001-rows-1-50
391220,Rise of the Tomb Raider,yes,Lara Croft,fixed_named_single,3,Explorer/Seeker,Hero/Warrior,Sage/Investigator,3,3,1,1,2,yes,none,False,control_seed,Lara Croft is the fixed lead.,"Focused on discovery, survival, and archaeological investigation, with strong heroic action framing.",Classic explorer-adventurer protagonist.,steam-v003-chunk-00001-rows-1-50
1151640,Horizon Zero Dawn Complete Edition,yes,Aloy,fixed_named_single,3,Explorer/Seeker,Hero/Warrior,Sage/Investigator,3,3,0,1,3,yes,none,False,control_seed,Aloy is the fixed protagonist.,"Driven by identity, origins, and uncovering truth in a ruined world; also a skilled protector.",Strong seeker/investigator lead.,steam-v003-chunk-00001-rows-1-50
504230,Celeste,yes,Madeline,fixed_named_single,3,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,2,3,1,2,2,yes,none,False,control_seed,Madeline is the fixed protagonist.,"An ordinary, struggling young woman confronting inner obstacles; journey and perseverance are central.",Clear everyman-style personal journey.,steam-v003-chunk-00001-rows-1-50
1817070,Marvel’s Spider-Man Remastered,yes,Peter Parker,fixed_named_single,3,Hero/Warrior,Caregiver/Guardian,Everyman/Orphan,2,3,0,1,2,yes,none,False,control_seed,Peter Parker is the fixed lead.,Protector-hero balancing personal life and responsibility; strong guardian aspect via Spider-Man identity.,Clear heroic guardian protagonist.,steam-v003-chunk-00001-rows-1-50
632470,Disco Elysium - The Final Cut,yes,Harrier Du Bois,fixed_named_single,3,Sage/Investigator,Shadow/Antihero,Everyman/Orphan,3,3,3,2,3,yes,none,False,control_seed,Harry Du Bois is the detective protagonist.,Investigation-driven protagonist with severe personal collapse and moral damage; intellect and self-destruction coexist.,Definitive detective antihero.,steam-v003-chunk-00001-rows-1-50
1687950,Persona 5 Royal,yes,Joker / Ren Amamiya,customizable_but_defined,3,Rebel/Outlaw,Hero/Warrior,Magician/Transformer,2,3,1,2,3,yes,none,False,control_seed,Player-named but narratively defined leader of the Phantom Thieves.,"Youthful rule-breaker challenging corrupt authority, with transformation via Personas central to the role.",Defined customizable rebel leader.,steam-v003-chunk-00001-rows-1-50
1259420,Days Gone,yes,Deacon St. John,fixed_named_single,3,Shadow/Antihero,Everyman/Orphan,Hero/Warrior,2,3,2,1,2,yes,none,False,control_seed,Deacon St. John is the fixed lead.,"Wounded survivor with outlaw energy, but grounded in loyalty and endurance.",Clear survival-focused antihero.,steam-v003-chunk-00001-rows-1-50
1030840,Mafia: Definitive Edition,yes,Tommy Angelo,fixed_named_single,3,Everyman/Orphan,Shadow/Antihero,Hero/Warrior,3,3,2,1,2,yes,none,False,control_seed,Tommy Angelo is the fixed protagonist.,"An ordinary man pulled into organized crime, gradually becoming morally compromised.",Grounded crime-trajectory protagonist.,steam-v003-chunk-00001-rows-1-50
383870,Firewatch,yes,Henry,fixed_named_single,3,Everyman/Orphan,Explorer/Seeker,Sage/Investigator,3,3,0,2,2,yes,none,False,control_seed,Henry is the fixed protagonist.,"An isolated ordinary man seeking escape and answers in the wilderness, with strong introspective focus.",Strong everyman seeker.,steam-v003-chunk-00001-rows-1-50
20920,The Witcher 2: Assassins of Kings Enhanced Edition,yes,Geralt of Rivia,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Explorer/Seeker,3,3,2,1,3,yes,none,False,control_seed,Geralt is the fixed protagonist.,Morally gray monster hunter and warrior navigating political intrigue and personal search.,Clear antihero lead.,steam-v003-chunk-00001-rows-1-50
205100,Dishonored,yes,Corvo Attano,fixed_named_single,3,Rebel/Outlaw,Shadow/Antihero,Hero/Warrior,2,3,2,1,2,yes,none,False,control_seed,Corvo Attano is the fixed protagonist.,"An accused assassin operating outside the law, with revenge and resistance framing.",Clear outlaw stealth protagonist.,steam-v003-chunk-00001-rows-1-50
1150690,OMORI,yes,Sunny / Omori,fixed_ensemble,3,Shadow/Antihero,Innocent,Explorer/Seeker,2,3,3,2,3,yes,none,False,control_seed,Dual identity structure centers Sunny and Omori.,Psychologically fraught protagonist split between childlike fantasy and dark self-protective retreat.,Dual lead with heavy inner conflict.,steam-v003-chunk-00001-rows-1-50
1888930,The Last of Us Part I,yes,Joel,fixed_dual,3,Shadow/Antihero,Caregiver/Guardian,Hero/Warrior,2,3,3,1,3,yes,none,False,control_seed,Joel is the main playable lead with Ellie as co-lead.,A damaged survivor whose story centers on protection and morally costly attachment.,"Clear lead, antihero guardian.",steam-v003-chunk-00001-rows-1-50
750920,Shadow of the Tomb Raider: Definitive Edition,yes,Lara Croft,fixed_named_single,3,Explorer/Seeker,Hero/Warrior,Sage/Investigator,3,3,1,1,2,yes,none,False,control_seed,Lara Croft is the fixed lead.,"Her journey emphasizes discovery and self-understanding, alongside survival and action.",Explorer-focused protagonist.,steam-v003-chunk-00001-rows-1-50
1113000,Persona 4 Golden,yes,Yu Narukami / protagonist,customizable_but_defined,3,Sage/Investigator,Hero/Warrior,Ruler/Leader,2,3,0,2,3,yes,none,False,control_seed,Player-named but defined protagonist of the Investigation Team.,A calm investigator-leader in a mystery-driven coming-of-age story.,Defined customizable investigative lead.,steam-v003-chunk-00001-rows-1-50
638970,Yakuza 0,yes,Kazuma Kiryu / Goro Majima,fixed_dual,3,Shadow/Antihero,Hero/Warrior,Ruler/Leader,2,3,2,1,3,yes,none,False,control_seed,Two fixed protagonists share the story.,Crime-world antiheroes with strong warrior presence; both are bound up with loyalty and power.,Dual fixed protagonists.,steam-v003-chunk-00001-rows-1-50
460950,Katana ZERO,yes,Subject Zero,fixed_named_single,3,Shadow/Antihero,Rebel/Outlaw,Jester/Trickster,2,3,3,1,2,yes,none,False,control_seed,Subject Zero is the fixed lead.,"Violent, damaged assassin with disorienting wit and defiance.",Strong antihero assassin lead.,steam-v003-chunk-00001-rows-1-50
307690,Sleeping Dogs: Definitive Edition,yes,Wei Shen,fixed_named_single,3,Hero/Warrior,Explorer/Seeker,Shadow/Antihero,2,3,1,1,2,yes,none,False,control_seed,Wei Shen is the fixed protagonist.,An undercover cop balancing duty and immersion in a criminal world; heroic but morally pressured.,Clear undercover hero lead.,steam-v003-chunk-00001-rows-1-50
387290,Ori and the Blind Forest: Definitive Edition,yes,Ori,nonhuman_fixed_protagonist,3,Innocent,Hero/Warrior,Explorer/Seeker,2,3,0,2,2,yes,none,False,control_seed,Ori is the fixed nonhuman lead.,Childlike spirit on a rescue journey; innocence and tenderness are central.,Clear innocent protagonist.,steam-v003-chunk-00001-rows-1-50
1145350,Hades II,yes,Melinoë,fixed_named_single,3,Magician/Transformer,Hero/Warrior,Explorer/Seeker,2,3,1,1,2,yes,none,False,control_seed,Melinoë is the fixed protagonist.,"A witch-like underworld combatant associated with ritual and transformation, while still action-heroic.",Strong magical-transformative lead.,steam-v003-chunk-00001-rows-1-50
403640,Dishonored 2,yes,Emily Kaldwin / Corvo Attano,fixed_dual,3,Ruler/Leader,Rebel/Outlaw,Shadow/Antihero,2,3,1,1,3,yes,none,False,control_seed,"Two fixed protagonists, with Emily especially framed as the ruler.",Leadership and restoration are key for Emily; Corvo reinforces stealthy outsider dynamics.,Dual fixed protagonists with ruler framing.,steam-v003-chunk-00001-rows-1-50
409710,BioShock Remastered,yes,Jack,silent_fixed_protagonist,3,Everyman/Orphan,Explorer/Seeker,Shadow/Antihero,2,3,1,2,2,yes,none,False,control_seed,Jack is the silent protagonist.,An ordinary outsider manipulated into a corrupted world; discovery of truth drives the arc.,Strong outsider-seeker lead.,steam-v003-chunk-00001-rows-1-50
204100,Max Payne 3,yes,Max Payne,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Sage/Investigator,3,3,3,1,2,yes,none,False,control_seed,Max Payne is the fixed lead.,Self-destructive hardcase surviving through gunplay and grim persistence.,Definitive noir antihero.,steam-v003-chunk-00001-rows-1-50
360430,Mafia III: Definitive Edition,yes,Lincoln Clay,fixed_named_single,3,Rebel/Outlaw,Shadow/Antihero,Hero/Warrior,2,3,2,1,2,yes,none,False,control_seed,Lincoln Clay is the fixed protagonist.,"Revenge-driven outsider fighting the system and criminal hierarchy, with strong violent resolve.",Clear rebel-revenge protagonist.,steam-v003-chunk-00001-rows-1-50
1328670,Mass Effect Legendary Edition,yes,Commander Shepard,customizable_but_defined,3,Ruler/Leader,Hero/Warrior,Explorer/Seeker,3,3,0,2,3,yes,none,False,control_seed,Player-customized but canonically defined commander and squad leader.,"Leadership is central, with heroic command and galactic discovery/investigation around it.",Defined customizable commander protagonist.,steam-v003-chunk-00001-rows-1-50
3240220,Grand Theft Auto V Enhanced,yes,Michael / Franklin / Trevor,fixed_ensemble,3,Shadow/Antihero,Rebel/Outlaw,Jester/Trickster,2,3,3,1,3,yes,none,False,metadata_inference,Three fixed playable leads share the story.,"Crime ensemble of morally compromised outlaws, with dark humor and shifting loyalties.",Multi-protagonist crime ensemble.,steam-v003-chunk-00001-rows-1-50
637650,FINAL FANTASY XV WINDOWS EDITION,yes,Noctis Lucis Caelum,fixed_named_single,3,Ruler/Leader,Hero/Warrior,Lover,2,3,0,1,2,yes,none,False,control_seed,Noctis is the fixed prince protagonist.,"A royal heir burdened by duty and leadership, with strong bonds of companionship.",Clear royal protagonist.,steam-v003-chunk-00001-rows-1-50
480490,Prey,yes,Morgan Yu,customizable_but_defined,3,Sage/Investigator,Explorer/Seeker,Shadow/Antihero,2,3,1,2,3,yes,none,False,control_seed,Player-defined but story-central Morgan Yu.,"Investigative identity mystery on Talos I, with strong search-for-truth structure.",Defined protagonist in mystery framework.,steam-v003-chunk-00001-rows-1-50
870780,CONTROL Ultimate Edition,yes,Jesse Faden,fixed_named_single,3,Magician/Transformer,Explorer/Seeker,Sage/Investigator,2,3,1,1,3,yes,none,False,control_seed,Jesse Faden is the fixed lead.,Supernatural agency director whose powers and changing reality make transformation central.,Strong magical-transformer protagonist.,steam-v003-chunk-00001-rows-1-50
108710,Alan Wake,yes,Alan Wake,fixed_named_single,3,Creator/Artist,Explorer/Seeker,Shadow/Antihero,3,3,1,1,3,yes,none,False,control_seed,Alan Wake is the fixed protagonist.,A writer whose creative work shapes reality and who searches for meaning in a nightmare setting.,Writer-as-protagonist archetype.,steam-v003-chunk-00001-rows-1-50
972660,Spiritfarer: Farewell Edition,yes,Stella,fixed_named_single,3,Caregiver/Guardian,Explorer/Seeker,Innocent,3,3,0,1,2,yes,none,False,control_seed,Stella is the fixed protagonist and ferrymaster.,Nurturing guide helping souls pass on; caretaking is the core of the role.,Clear caregiver protagonist.,steam-v003-chunk-00001-rows-1-50
282140,SOMA,yes,Simon Jarrett,fixed_named_single,3,Explorer/Seeker,Everyman/Orphan,Shadow/Antihero,2,3,1,2,3,yes,none,False,control_seed,Simon Jarrett is the fixed protagonist.,"An ordinary man thrown into existential discovery, with identity and truth-seeking central.",Clear seeker with everyman framing.,steam-v003-chunk-00001-rows-1-50
