id,order,appid,game,character,protagonist_name,protagonist_role,protagonist_type,source_type,source_url,source_note,validation_status,known_status,internal_suggested_primary_archetype,internal_suggested_secondary_archetype,internal_suggested_archetype_confidence_0_1,internal_archetype_rationale,internal_archetype_source_url,total_ratings_pos_neg,bucket,batch,prompt,include_main_clean,exclude_reason,game_name,character_name,display_game,display_character,display_label,validation_prompt,name,title,description,game_included_for_display,needs_split_or_research,igdb_id,original_release_year,igdb_corpus_title,igdb_corpus_year
igdb90_1993_sam-max-hit-the-road_sam-and-max,261,,Sam & Max Hit the Road,Sam and Max,Sam and Max,freelance police duo in a comic road adventure,duo comic adventure protagonists,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/sam-max-hit-the-road,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Jester,Sage,0.80,Their detective function is filtered through absurdist comedy and trickster logic.,https://www.igdb.com/games/sam-max-hit-the-road,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Sam and Max in Sam & Max Hit the Road (1993)?,True,,Sam & Max Hit the Road,Sam and Max,Sam & Max Hit the Road (1993),Sam and Max,Sam and Max — Sam & Max Hit the Road (1993),Which archetypes best describe Sam and Max in Sam & Max Hit the Road (1993)?,Sam and Max,Sam and Max,Sam & Max Hit the Road (1993): freelance police duo in a comic road adventure,True,False,202,1993,Sam & Max Hit the Road,1993
igdb90_1994_super-metroid_samus-aran,262,,Super Metroid,Samus Aran,Samus Aran,bounty hunter exploring Zebes and confronting Mother Brain,fixed action-exploration protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/super-metroid,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Hero,0.95,The game strongly fuses environmental exploration with heroic confrontation.,https://www.igdb.com/games/super-metroid,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Samus Aran in Super Metroid (1994)?,True,,Super Metroid,Samus Aran,Super Metroid (1994),Samus Aran,Samus Aran — Super Metroid (1994),Which archetypes best describe Samus Aran in Super Metroid (1994)?,Samus Aran,Samus Aran,Super Metroid (1994): bounty hunter exploring Zebes and confronting Mother Brain,True,False,1103,1994,Super Metroid,1994
igdb90_1994_earthbound_ness,263,,EarthBound,Ness,Ness,ordinary child on a surreal world-saving journey,fixed party RPG protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/earthbound,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Innocent,Hero,0.85,"Ness is a childlike, ordinary protagonist placed into a cosmic heroic quest.",https://www.igdb.com/games/earthbound,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Ness in EarthBound (1994)?,True,,EarthBound,Ness,EarthBound (1994),Ness,Ness — EarthBound (1994),Which archetypes best describe Ness in EarthBound (1994)?,Ness,Ness,EarthBound (1994): ordinary child on a surreal world-saving journey,True,False,2899,1994,EarthBound,1994
igdb90_1994_final-fantasy-vi_terra-branford,264,,Final Fantasy VI,Terra Branford,Terra Branford,enslaved magical woman seeking identity and resisting empire,ensemble RPG lead,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/final-fantasy-iii--7,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation. IGDB corpus row uses the North American SNES title Final Fantasy III; display title normalized to Final Fantasy VI.,not_validated,named_or_defined_protagonist,Magician,Rebel,0.80,Terra’s magical nature and transformation arc are central; resistance to imperial control adds Rebel.,https://www.igdb.com/games/final-fantasy-iii--7,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Terra Branford in Final Fantasy VI (1994)?,True,,Final Fantasy VI,Terra Branford,Final Fantasy VI (1994),Terra Branford,Terra Branford — Final Fantasy VI (1994),Which archetypes best describe Terra Branford in Final Fantasy VI (1994)?,Terra Branford,Terra Branford,Final Fantasy VI (1994): enslaved magical woman seeking identity and resisting empire,True,False,426,1994,Final Fantasy III,1994
igdb90_1995_chrono-trigger_crono,265,,Chrono Trigger,Crono,Crono,silent young hero traveling through time to prevent apocalypse,silent/projective RPG protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/chrono-trigger,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Explorer,0.90,Crono’s function is heroic intervention across time; the time-travel structure adds Explorer.,https://www.igdb.com/games/chrono-trigger,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Crono in Chrono Trigger (1995)?,True,,Chrono Trigger,Crono,Chrono Trigger (1995),Crono,Crono — Chrono Trigger (1995),Which archetypes best describe Crono in Chrono Trigger (1995)?,Crono,Crono,Chrono Trigger (1995): silent young hero traveling through time to prevent apocalypse,True,False,1802,1995,Chrono Trigger,1995
igdb90_1995_full-throttle_ben-throttle,266,,Full Throttle,Ben Throttle,Ben Throttle,biker leader framed for murder,fixed adventure protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/full-throttle,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Rebel,Ruler,0.85,"Ben is an outlaw biker and gang leader whose story concerns freedom, loyalty, and authority.",https://www.igdb.com/games/full-throttle,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Ben Throttle in Full Throttle (1995)?,True,,Full Throttle,Ben Throttle,Full Throttle (1995),Ben Throttle,Ben Throttle — Full Throttle (1995),Which archetypes best describe Ben Throttle in Full Throttle (1995)?,Ben Throttle,Ben Throttle,Full Throttle (1995): biker leader framed for murder,True,False,180,1995,Full Throttle,1995
igdb90_1996_resident-evil_jill-valentine-chris-redfield,267,,Resident Evil,Jill Valentine / Chris Redfield,Jill Valentine / Chris Redfield,S.T.A.R.S. survivors investigating the Spencer Mansion,dual fixed survival-horror protagonists,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/resident-evil,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Sage,0.80,The protagonists combine trained action survival with investigation of a conspiracy/horror site.,https://www.igdb.com/games/resident-evil,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Jill Valentine / Chris Redfield in Resident Evil (1996)?,True,,Resident Evil,Jill Valentine / Chris Redfield,Resident Evil (1996),Jill Valentine / Chris Redfield,Jill Valentine / Chris Redfield — Resident Evil (1996),Which archetypes best describe Jill Valentine / Chris Redfield in Resident Evil (1996)?,Jill Valentine / Chris Redfield,Jill Valentine / Chris Redfield,Resident Evil (1996): S.T.A.R.S. survivors investigating the Spencer Mansion,True,False,424,1996,Resident Evil,1996
igdb90_1996_tomb-raider_lara-croft,268,,Tomb Raider,Lara Croft,Lara Croft,archaeologist-adventurer raiding ancient tombs,fixed action-adventure protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/tomb-raider,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Hero,0.95,"Lara is one of the clearest Explorer protagonists in 1990s games, with Hero as secondary action framing.",https://www.igdb.com/games/tomb-raider,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Lara Croft in Tomb Raider (1996)?,True,,Tomb Raider,Lara Croft,Tomb Raider (1996),Lara Croft,Lara Croft — Tomb Raider (1996),Which archetypes best describe Lara Croft in Tomb Raider (1996)?,Lara Croft,Lara Croft,Tomb Raider (1996): archaeologist-adventurer raiding ancient tombs,True,False,912,1996,Tomb Raider,1996
igdb90_1996_crash-bandicoot_crash-bandicoot,269,,Crash Bandicoot,Crash Bandicoot,Crash Bandicoot,mutant bandicoot escaping and fighting Cortex,fixed mascot platform protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/crash-bandicoot,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Jester,Hero,0.80,Crash is primarily a slapstick mascot trickster with a simple heroic rescue/confrontation role.,https://www.igdb.com/games/crash-bandicoot,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Crash Bandicoot in Crash Bandicoot (1996)?,True,,Crash Bandicoot,Crash Bandicoot,Crash Bandicoot (1996),Crash Bandicoot,Crash Bandicoot — Crash Bandicoot (1996),Which archetypes best describe Crash Bandicoot in Crash Bandicoot (1996)?,Crash Bandicoot,Crash Bandicoot,Crash Bandicoot (1996): mutant bandicoot escaping and fighting Cortex,True,False,1185,1996,Crash Bandicoot,1996
igdb90_1996_broken-sword-the-shadow-of-the-templars_george-stobbart,270,,Broken Sword: The Shadow of the Templars,George Stobbart,George Stobbart,tourist drawn into a conspiracy investigation,fixed adventure protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/circle-of-blood,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation. IGDB corpus row uses the North American title Circle of Blood; display title normalized to Broken Sword: The Shadow of the Templars.,not_validated,named_or_defined_protagonist,Sage,Everyman,0.85,George begins as an ordinary outsider but the gameplay centers on investigation and inference.,https://www.igdb.com/games/circle-of-blood,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe George Stobbart in Broken Sword: The Shadow of the Templars (1996)?,True,,Broken Sword: The Shadow of the Templars,George Stobbart,Broken Sword: The Shadow of the Templars (1996),George Stobbart,George Stobbart — Broken Sword: The Shadow of the Templars (1996),Which archetypes best describe George Stobbart in Broken Sword: The Shadow of the Templars (1996)?,George Stobbart,George Stobbart,Broken Sword: The Shadow of the Templars (1996): tourist drawn into a conspiracy investigation,True,False,616,1996,Circle of Blood,1996
igdb90_1997_fallout_the-vault-dweller,271,,Fallout,The Vault Dweller,The Vault Dweller,shelter dweller sent into the wasteland to save Vault 13,custom RPG protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/fallout-a-post-nuclear-role-playing-game,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation. Display title normalized to common short title Fallout.,not_validated,named_or_defined_protagonist,Explorer,Hero,0.85,The Vault Dweller enters an unknown wasteland on a survival/rescue mission.,https://www.igdb.com/games/fallout-a-post-nuclear-role-playing-game,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe The Vault Dweller in Fallout (1997)?,True,,Fallout,The Vault Dweller,Fallout (1997),The Vault Dweller,The Vault Dweller — Fallout (1997),Which archetypes best describe The Vault Dweller in Fallout (1997)?,The Vault Dweller,The Vault Dweller,Fallout (1997): shelter dweller sent into the wasteland to save Vault 13,True,False,13,1997,Fallout: A Post Nuclear Role Playing Game,1997
igdb90_1997_castlevania-symphony-of-the-night_alucard,272,,Castlevania: Symphony of the Night,Alucard,Alucard,dhampir entering Dracula’s castle to stop evil,fixed action-RPG protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/castlevania-symphony-of-the-night,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Magician,0.85,Alucard is a supernatural heroic figure whose powers and lineage add Magician resonance.,https://www.igdb.com/games/castlevania-symphony-of-the-night,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Alucard in Castlevania: Symphony of the Night (1997)?,True,,Castlevania: Symphony of the Night,Alucard,Castlevania: Symphony of the Night (1997),Alucard,Alucard — Castlevania: Symphony of the Night (1997),Which archetypes best describe Alucard in Castlevania: Symphony of the Night (1997)?,Alucard,Alucard,Castlevania: Symphony of the Night (1997): dhampir entering Dracula’s castle to stop evil,True,False,1128,1997,Castlevania: Symphony of the Night,1997
igdb90_1997_oddworld-abe-s-oddysee_abe,273,,Oddworld: Abe's Oddysee,Abe,Abe,enslaved worker leading a liberation struggle,fixed cinematic platform protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/oddworld-abe-s-oddysee,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Rebel,Everyman,0.90,Abe is a paradigmatic reluctant everyman whose story turns into worker liberation.,https://www.igdb.com/games/oddworld-abe-s-oddysee,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Abe in Oddworld: Abe's Oddysee (1997)?,True,,Oddworld: Abe's Oddysee,Abe,Oddworld: Abe's Oddysee (1997),Abe,Abe — Oddworld: Abe's Oddysee (1997),Which archetypes best describe Abe in Oddworld: Abe's Oddysee (1997)?,Abe,Abe,Oddworld: Abe's Oddysee (1997): enslaved worker leading a liberation struggle,True,False,999,1997,Oddworld: Abe's Oddysee,1997
igdb90_1998_metal-gear-solid_solid-snake,274,,Metal Gear Solid,Solid Snake,Solid Snake,infiltration operative confronting nuclear threat and identity legacy,fixed stealth-action protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/metal-gear-solid,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Sage,0.90,"Snake combines military heroism with investigation, deception, and political knowledge.",https://www.igdb.com/games/metal-gear-solid,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Solid Snake in Metal Gear Solid (1998)?,True,,Metal Gear Solid,Solid Snake,Metal Gear Solid (1998),Solid Snake,Solid Snake — Metal Gear Solid (1998),Which archetypes best describe Solid Snake in Metal Gear Solid (1998)?,Solid Snake,Solid Snake,Metal Gear Solid (1998): infiltration operative confronting nuclear threat and identity legacy,True,False,375,1998,Metal Gear Solid,1998
igdb90_1998_the-legend-of-zelda-ocarina-of-time_link,275,,The Legend of Zelda: Ocarina of Time,Link,Link,silent hero moving between childhood and adulthood to stop Ganondorf,silent/projective adventure protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/the-legend-of-zelda-ocarina-of-time,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Innocent,0.90,Link is a mythic hero with a strong innocence-to-heroism temporal arc.,https://www.igdb.com/games/the-legend-of-zelda-ocarina-of-time,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Link in The Legend of Zelda: Ocarina of Time (1998)?,True,,The Legend of Zelda: Ocarina of Time,Link,The Legend of Zelda: Ocarina of Time (1998),Link,Link — The Legend of Zelda: Ocarina of Time (1998),Which archetypes best describe Link in The Legend of Zelda: Ocarina of Time (1998)?,Link,Link,The Legend of Zelda: Ocarina of Time (1998): silent hero moving between childhood and adulthood to stop Ganondorf,True,False,1029,1998,The Legend of Zelda: Ocarina of Time,1998
igdb90_1998_baldur-s-gate_gorion-s-ward,276,,Baldur's Gate,Gorion's Ward,Gorion's Ward,custom protagonist uncovering divine lineage and political crisis,custom RPG protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/baldur-s-gate,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Hero,0.75,"The protagonist is player-shaped, but the plot frames discovery of origin and heroic crisis response.",https://www.igdb.com/games/baldur-s-gate,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Gorion's Ward in Baldur's Gate (1998)?,True,,Baldur's Gate,Gorion's Ward,Baldur's Gate (1998),Gorion's Ward,Gorion's Ward — Baldur's Gate (1998),Which archetypes best describe Gorion's Ward in Baldur's Gate (1998)?,Gorion's Ward,Gorion's Ward,Baldur's Gate (1998): custom protagonist uncovering divine lineage and political crisis,True,False,5,1998,Baldur's Gate,1998
