appid,name,refined_tier,refined_reason,primary_terms,support_terms,broad_terms,primary_term_count,support_term_count,hit_tracked_term_count,possible_tagspam,total_ratings_pos_neg,positive_ratio,steamspy_owners,steamspy_genre,steamspy_top_tags,steamspy_top_tags_with_scores,want_details,candidate_reason,bucket,matched_terms,relevance_score,reaction_rank,steamspy_positive,steamspy_negative,steamspy_owners_midpoint,steamspy_tags,steamspy_hit_terms,steam_catalog_name,steamspy_name,last_modified,price_change_number,steam_catalog_source,steam_catalog_fetched_at,steamspy_developer,steamspy_publisher,steamspy_userscore,steamspy_score_rank,steamspy_average_forever,steamspy_median_forever,steamspy_price,steamspy_initialprice,steamspy_discount,steamspy_ccu,steamspy_languages,steamspy_hit_types,is_term_match,forced_include,candidate_by_term_and_reactions,candidate_by_popular_fallback,broad_term_count
538030,Xenonauts 2,A_core_strong,>=2 primary top-tag signals and reactions>=500,Character Customization; Choices Matter; CRPG; Story Rich; Tactical RPG,,,5,0,20,True,2952,0.8031842818428184,"100,000 .. 200,000",,,,True,term_match+reactions>=500,narrative/protagonist-heavy,4X; Action; Adventure; Character Customization; Choices Matter; City Builder; CRPG; Grand Strategy; Management; Open World; RPG; Sandbox; Simulation; Singleplayer; Stealth; Story Rich; Strategy; Survival; Tactical RPG; Turn-Based Strategy,44,3999,2371,581,150000.0,,RPG; Simulation; Strategy; 4X; Action; Adventure; CRPG; Character Customization; Choices Matter; City Builder; Grand Strategy; Management; Open World; Sandbox; Singleplayer; Stealth; Story Rich; Survival; Tactical RPG; Turn-Based Strategy,Xenonauts 2,Xenonauts 2,1780042367.0,36649246.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Goldhawk Interactive,Hooded Horse,0.0,,0.0,0.0,3999.0,3999.0,0.0,161.0,,genre; tag,True,False,True,False,0
1592110,Spirit of the Island,A_core_strong,>=2 primary top-tag signals and reactions>=500,Action RPG; Character Customization; Choices Matter; Choose Your Own Adventure; Female Protagonist; Immersive Sim; Mystery; Party-Based RPG; Story Rich,,,9,0,20,True,1742,0.6687715269804823,"20,000 .. 50,000",,,,True,term_match+reactions>=500,narrative/protagonist-heavy,Action; Action RPG; Adventure; Character Customization; Choices Matter; Choose Your Own Adventure; City Builder; Female Protagonist; Immersive Sim; Management; Mystery; Open World; Party-Based RPG; RPG; Sandbox; Simulation; Singleplayer; Story Rich; Survival; Third Person,46,5515,1165,577,35000.0,,Action; Adventure; RPG; Simulation; Action RPG; Character Customization; Choices Matter; Choose Your Own Adventure; City Builder; Female Protagonist; Immersive Sim; Management; Mystery; Open World; Party-Based RPG; Sandbox; Singleplayer; Story Rich; Survival; Third Person,Spirit of the Island,Spirit of the Island,1779175738.0,36338977.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,1M Bits Horde,META Publishing,0.0,,0.0,0.0,1499.0,1499.0,0.0,32.0,,genre; tag,True,False,True,False,0
521620,Alchemist Adventure,D_popular_control_candidate,popular/control pool only; not enough core signals,Action RPG; Character Customization; Female Protagonist; JRPG; Lore-Rich; Multiple Endings; Mystery; Story Rich,,,8,0,20,True,124,0.7338709677419355,"20,000 .. 50,000",,,,False,,narrative/protagonist-heavy,Action; Action-Adventure; Action RPG; Adventure; Character Customization; City Builder; Female Protagonist; JRPG; Lore-Rich; Multiple Endings; Mystery; Open World; Platformer; RPG; RTS; Simulation; Singleplayer; Story Rich; Strategy; Survival; Third Person; Zombies,46,20935,91,33,35000.0,,Action; Adventure; Action RPG; Action-Adventure; Character Customization; City Builder; Female Protagonist; JRPG; Lore-Rich; Multiple Endings; Mystery; Open World; Platformer; RPG; RTS; Simulation; Singleplayer; Story Rich; Strategy; Survival; Third Person; Zombies,Alchemist Adventure,Alchemist Adventure,1727715574.0,35345245.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Bad Minions,SuperGG.com,0.0,,0.0,0.0,1499.0,1499.0,0.0,1.0,,genre; tag,True,False,False,False,0
1363080,Manor Lords,A_core_strong,>=2 primary top-tag signals and reactions>=500,Character Customization; Story Rich,,,2,0,19,True,72120,0.8627842484747643,"2,000,000 .. 5,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,4X; Action; Adventure; Character Customization; City Builder; Colony Sim; First-Person; Grand Strategy; Management; Open World; RPG; RTS; Sandbox; Simulation; Singleplayer; Story Rich; Strategy; Survival; Third Person,37,338,62224,9896,3500000.0,,Simulation; Strategy; 4X; Action; Adventure; Character Customization; City Builder; Colony Sim; First-Person; Grand Strategy; Management; Open World; RPG; RTS; Sandbox; Singleplayer; Story Rich; Survival; Third Person,Manor Lords,Manor Lords,1779785894.0,36448311.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Slavic Magic,Hooded Horse,0.0,,0.0,0.0,3999.0,3999.0,0.0,1977.0,,genre; tag,True,False,True,True,0
1241510,The Test,A_core_strong,>=2 primary top-tag signals and reactions>=500,Choices Matter; Choose Your Own Adventure; Conversation; Detective; Immersive Sim; Interactive Fiction; Investigation; JRPG; Multiple Endings; Mystery; Story Rich; Survival Horror; Visual Novel,,,13,0,19,True,19954,0.9689285356319536,"500,000 .. 1,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,Adventure; Choices Matter; Choose Your Own Adventure; Conversation; Detective; Horror; Immersive Sim; Interactive Fiction; Investigation; JRPG; Multiple Endings; Mystery; Open World; RPG; Simulation; Singleplayer; Story Rich; Survival Horror; Visual Novel,50,1034,19334,620,750000.0,,Adventure; RPG; Simulation; Choices Matter; Choose Your Own Adventure; Conversation; Detective; Horror; Immersive Sim; Interactive Fiction; Investigation; JRPG; Multiple Endings; Mystery; Open World; Singleplayer; Story Rich; Survival Horror; Visual Novel,The Test,The Test,1751129073.0,35942703.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Randumb Studios,Randumb Studios,0.0,,0.0,0.0,199.0,199.0,0.0,3.0,,genre; tag,True,False,True,True,0
1169040,Necesse,A_core_strong,>=2 primary top-tag signals and reactions>=500,Character Customization; Choices Matter; CRPG; Story Rich,,,4,0,19,True,17071,0.9365590767969072,"1,000,000 .. 2,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,Action; Action-Adventure; Adventure; Character Customization; Choices Matter; City Builder; Colony Sim; CRPG; Management; Open World; Platformer; RPG; Sandbox; Simulation; Singleplayer; Stealth; Story Rich; Strategy; Survival; Third-Person Shooter,41,1177,15988,1083,1500000.0,,Action; Adventure; RPG; Action-Adventure; CRPG; Character Customization; Choices Matter; City Builder; Colony Sim; Management; Open World; Platformer; Sandbox; Simulation; Singleplayer; Stealth; Story Rich; Strategy; Survival; Third-Person Shooter,Necesse,Necesse,1778533514.0,36384912.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Fair Games ApS,Fair Games ApS,0.0,,0.0,0.0,1499.0,1499.0,0.0,507.0,,genre; tag,True,False,True,True,0
602520,NEKOPARA Vol. 3,A_core_strong,>=2 primary top-tag signals and reactions>=500,Female Protagonist; Story Rich; Survival Horror; Visual Novel; Walking Simulator,,,5,0,19,True,11893,0.970066425628521,"200,000 .. 500,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,Action; Adventure; Female Protagonist; First-Person; FPS; Horror; Open World; RPG; Shooter; Simulation; Singleplayer; Stealth; Story Rich; Strategy; Survival; Survival Horror; Third-Person Shooter; Visual Novel; Walking Simulator; Zombies,36,1558,11537,356,350000.0,,Action; Adventure; FPS; Female Protagonist; First-Person; Horror; Open World; RPG; Shooter; Simulation; Singleplayer; Stealth; Story Rich; Strategy; Survival; Survival Horror; Third-Person Shooter; Visual Novel; Walking Simulator; Zombies,NEKOPARA Vol. 3,NEKOPARA Vol. 3,1656892343.0,34672985.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,NEKO WORKs,Sekai Project,0.0,,0.0,0.0,999.0,999.0,0.0,15.0,,tag,True,False,True,True,0
291010,The Hat Man: Shadow Ward,A_core_strong,>=2 primary top-tag signals and reactions>=500,Female Protagonist; Story Rich; Survival Horror; Walking Simulator,,,4,0,19,True,3326,0.6545399879735417,"200,000 .. 500,000",,,,True,term_match+reactions>=500,narrative/protagonist-heavy,Action; Adventure; Female Protagonist; First-Person; FPS; Horror; Open World; Platformer; RPG; Sandbox; Shooter; Simulation; Singleplayer; Story Rich; Strategy; Survival; Survival Horror; Third Person; Walking Simulator; Zombies,35,3718,2177,1149,350000.0,,Action; Adventure; FPS; Female Protagonist; First-Person; Horror; Open World; Platformer; RPG; Sandbox; Shooter; Simulation; Singleplayer; Story Rich; Strategy; Survival; Survival Horror; Third Person; Walking Simulator; Zombies,The Hat Man: Shadow Ward,The Hat Man: Shadow Ward,1743736793.0,34672985.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Game Mechanics LLC,Game Mechanics LLC,0.0,,0.0,0.0,999.0,999.0,0.0,0.0,,genre; tag,True,False,True,False,0
1450830,At Dead Of Night,A_core_strong,>=2 primary top-tag signals and reactions>=500,Action RPG; Female Protagonist; Investigation; Lovecraftian; Mystery; Party-Based RPG; Story Rich; Strategy RPG; Survival Horror; Tactical RPG,,,10,0,19,True,2890,0.9366782006920416,"50,000 .. 100,000",,,,True,term_match+reactions>=500,narrative/protagonist-heavy,Action; Action-Adventure; Action RPG; Adventure; Female Protagonist; First-Person; Horror; Investigation; Lovecraftian; Mystery; Party-Based RPG; RPG; Singleplayer; Stealth; Story Rich; Strategy; Strategy RPG; Survival; Survival Horror; Tactical RPG,40,4055,2707,183,75000.0,,Action; RPG; Strategy; Action RPG; Action-Adventure; Adventure; Female Protagonist; First-Person; Horror; Investigation; Lovecraftian; Mystery; Party-Based RPG; Singleplayer; Stealth; Story Rich; Strategy RPG; Survival; Survival Horror; Tactical RPG,At Dead Of Night,At Dead Of Night,1759702068.0,34672985.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Baggy Cat Ltd.,Baggy Cat Ltd.,0.0,,0.0,0.0,1599.0,1599.0,0.0,6.0,,genre; tag,True,False,True,False,0
638990,"UNDYING - ""KINGDOM""",A_core_strong,>=2 primary top-tag signals and reactions>=500,Action RPG; Choices Matter; Female Protagonist; Multiple Endings; Story Rich; Survival Horror,,,6,0,19,True,1783,0.7969713965227145,"100,000 .. 200,000",,,,True,term_match+reactions>=500,narrative/protagonist-heavy,Action; Action RPG; Adventure; Choices Matter; Female Protagonist; Horror; Management; Multiple Endings; Open World; RPG; Shooter; Simulation; Singleplayer; Stealth; Story Rich; Strategy; Survival; Survival Horror; Third Person; Zombies,43,5438,1421,362,150000.0,,Adventure; Action; Action RPG; Choices Matter; Female Protagonist; Horror; Management; Multiple Endings; Open World; RPG; Shooter; Simulation; Singleplayer; Stealth; Story Rich; Strategy; Survival; Survival Horror; Third Person; Zombies,"UNDYING - ""KINGDOM""","UNDYING - ""KINGDOM""",1754587150.0,36118681.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Vanimals,"Skystone Games, Vanimals",0.0,,0.0,0.0,1999.0,1999.0,0.0,14.0,,genre; tag,True,False,True,False,0
758730,Paw Patrol: On A Roll!,D_popular_control_candidate,popular/control pool only; not enough core signals,Choices Matter; Female Protagonist; JRPG; Lovecraftian; Story Rich; Survival Horror; Visual Novel; Walking Simulator,,,8,0,19,True,419,0.8424821002386634,"20,000 .. 50,000",,,,False,,narrative/protagonist-heavy,Action; Action-Adventure; Adventure; Choices Matter; Female Protagonist; FPS; Grand Strategy; Horror; JRPG; Lovecraftian; Platformer; Simulation; Singleplayer; Story Rich; Strategy; Survival; Survival Horror; Third-Person Shooter; Visual Novel; Walking Simulator; Zombies,43,11935,353,66,35000.0,,Adventure; Action; Action-Adventure; Choices Matter; FPS; Female Protagonist; Grand Strategy; Horror; JRPG; Lovecraftian; Platformer; Simulation; Singleplayer; Story Rich; Strategy; Survival; Survival Horror; Third-Person Shooter; Visual Novel; Walking Simulator; Zombies,Paw Patrol: On A Roll!,Paw Patrol: On A Roll!,1694774487.0,36706455.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Torus Games,Outright Games Ltd.,0.0,,0.0,0.0,749.0,2999.0,75.0,11.0,,genre; tag,True,False,False,False,0
1887020,Robber Knight,D_popular_control_candidate,popular/control pool only; not enough core signals,Action RPG; Character Customization; Choose Your Own Adventure; CRPG; Immersive Sim; Story Rich; Strategy RPG,,,7,0,19,True,293,0.6655290102389079,"20,000 .. 50,000",,,,False,,narrative/protagonist-heavy,4X; Action RPG; Character Customization; Choose Your Own Adventure; City Builder; CRPG; First-Person; Immersive Sim; Management; Open World; RPG; Sandbox; Simulation; Singleplayer; Story Rich; Strategy; Strategy RPG; Survival; Third Person,39,14323,195,98,35000.0,,RPG; Strategy; 4X; Action RPG; CRPG; Character Customization; Choose Your Own Adventure; City Builder; First-Person; Immersive Sim; Management; Open World; Sandbox; Simulation; Singleplayer; Story Rich; Strategy RPG; Survival; Third Person,Robber Knight,Robber Knight,1759653151.0,35497489.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Sartorian,Sartorian,0.0,,0.0,0.0,3999.0,3999.0,0.0,1.0,,genre; tag,True,False,False,False,0
527990,Gladiator Trainer,D_popular_control_candidate,popular/control pool only; not enough core signals,Action RPG; Story Rich; Tactical RPG,,,3,0,19,True,273,0.7142857142857143,"0 .. 20,000",,,,False,,narrative/protagonist-heavy,Action; Action RPG; Adventure; First-Person; FPS; Horror; Open World; Platformer; RPG; Sandbox; Shooter; Simulation; Singleplayer; Story Rich; Strategy; Survival; Tactical RPG; Third Person; Turn-Based Strategy; Zombies,35,14757,195,78,10000.0,,Action; Adventure; RPG; Action RPG; FPS; First-Person; Horror; Open World; Platformer; Sandbox; Shooter; Simulation; Singleplayer; Story Rich; Strategy; Survival; Tactical RPG; Third Person; Turn-Based Strategy; Zombies,Gladiator Trainer,Gladiator Trainer,1756074895.0,36094575.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Pilgrim Adventures,Senpai Industrial Studios,0.0,,0.0,0.0,199.0,199.0,0.0,0.0,,genre; tag,True,False,False,False,0
