control_id,steam_search_title,protagonist,protagonist_clarity,broad_bucket,why_useful_for_archetype_control,preliminary_archetype_seed_note,matched_appid,matched_name,match_score,total_ratings_pos_neg,positive_ratio
23,Portal,Chell,fixed_named_single_silent,puzzle / sci-fi,"Jasná protagonistka, i když tichá; užitečná kontrola pro minimálně verbalizovanou postavu.",Survivor / Trickster,400,Portal,1.0,177741,0.9847137126493044
24,Portal 2,Chell,fixed_named_single_silent,puzzle / sci-fi,Stejná postava ve výraznější vztahové a komické struktuře.,Survivor / Rebel,620,Portal 2,1.0,433510,0.9869091831791654
25,Control Ultimate Edition,Jesse Faden,fixed_named_single,action adventure,"Velmi jasná protagonistka se silnou linkou hledání bratra, moci a instituce.",Seeker / Witch / Ruler,870780,CONTROL Ultimate Edition,1.0,50448,0.8730772280367903
26,Alan Wake,Alan Wake,fixed_named_single,psychological thriller,Spisovatel jako protagonista hororové sebeprojekce a příběhové reality.,Creator / Shadow,108710,Alan Wake,1.0,49163,0.9041148831438276
27,Quantum Break,Jack Joyce,fixed_named_single,sci-fi action,Protagonista časového zlomu a osobní odpovědnosti.,Accidental hero / Seeker,474960,Quantum Break,1.0,28140,0.8570362473347548
28,Max Payne,Max Payne,fixed_named_single,noir action,Extrémně jasný noir antihrdina s tématem ztráty a pomsty.,Avenger / Wounded hero,12140,Max Payne,1.0,14653,0.8921040060055961
29,Max Payne 2: The Fall of Max Payne,Max Payne,fixed_named_single,noir action,Pokračování stejného antihrdinského archetypu s romanticko-tragickou linkou.,Avenger / Lover,12150,Max Payne 2: The Fall of Max Payne,1.0,11934,0.9453661806602984
30,Max Payne 3,Max Payne,fixed_named_single,noir action,"Starší, vyhořelá varianta stejného protagonisty vhodná pro proměnu archetypu.",Fallen guardian / Exile,204100,Max Payne 3,1.0,57076,0.8658630597799425
31,Tomb Raider,Lara Croft,fixed_named_single,action adventure,Moderní origin story archetypu přeživší dobrodružky.,Explorer / Survivor,203160,Tomb Raider Game of the Year,1.0,247930,0.9609123542935506
32,Rise of the Tomb Raider,Lara Croft,fixed_named_single,action adventure,Stejná protagonistka ve fázi posedlosti a dědictví.,Explorer / Seeker,391220,Rise of the Tomb Raider,1.0,136180,0.940519900132178
33,Shadow of the Tomb Raider,Lara Croft,fixed_named_single,action adventure,Kontrola pro temnější podobu archetypu průzkumníka a ničivých následků.,Explorer / Shadow,750920,Shadow of the Tomb Raider: Definitive Edition,1.0,79443,0.8393942826932518
34,Horizon Zero Dawn Complete Edition,Aloy,fixed_named_single,open-world action RPG,"Silně definovaná hrdinka hledající původ, identitu a místo ve světě.",Seeker / Hero / Outsider,1151640,Horizon Zero Dawn Complete Edition,1.0,125197,0.8790066854637092
35,Horizon Forbidden West Complete Edition,Aloy,fixed_named_single,open-world action RPG,Pokračování stejné protagonistky v roli zachránkyně světa.,Hero / Protector,2420110,Horizon Forbidden West Complete Edition,1.0,22735,0.8939960413459423
36,God of War,Kratos / Atreus,fixed_dual,action adventure,"Dvojice otec–syn, velmi vhodná pro archetyp rodiče, válečníka a dědice.",Warrior / Father / Child,1593500,God of War,1.0,158017,0.9600612592316016
37,God of War Ragnarök,Kratos / Atreus,fixed_dual,action adventure,Pokračující archetyp otce a syna s tématem osudu a emancipace.,Father / Heir / Warrior,2322010,God of War Ragnarök,1.0,31388,0.8642474831145661
38,Marvel's Spider-Man Remastered,Peter Parker,fixed_named_single,superhero action,Kanonický hrdina s jasným archetypem odpovědnosti a oběti.,Hero / Caregiver,1817070,Marvel’s Spider-Man Remastered,1.0,112392,0.9590184354758344
39,Marvel's Spider-Man: Miles Morales,Miles Morales,fixed_named_single,superhero action,"Mladý nástupce a hrdina identity, komunity a dospívání.",Heir / Hero / Everyman,1817190,Marvel’s Spider-Man: Miles Morales,1.0,43681,0.9322588768572148
40,The Last of Us Part I,Joel / Ellie,fixed_dual,survival narrative,"Silná dvojice pro archetyp otce, dítěte, přežití a morálního stínu.",Father / Innocent / Shadow,1888930,The Last of Us Part I,1.0,79855,0.797858618746478
41,The Last of Us Part II Remastered,Ellie / Abby,fixed_dual,survival narrative,"Duální protagonistky pomsty, zrcadlení a rozkladu heroismu.",Avenger / Shadow / Mirror,2531310,The Last of Us Part II Remastered,1.0,24774,0.9050213933963026
42,Days Gone,Deacon St. John,fixed_named_single,open-world survival,"Jasný protagonista loajality, traumatu a ztraceného domova.",Survivor / Lover / Outlaw,1259420,Days Gone,1.0,103143,0.927808964253512
43,Red Dead Redemption 2,Arthur Morgan,fixed_named_single,open-world narrative,"Velmi silný antihrdina s obloukem viny, loajality a vykoupení.",Outlaw / Redeemed hero,1174180,Red Dead Redemption 2,1.0,733542,0.9224652439805764
44,Grand Theft Auto V,Michael / Franklin / Trevor,fixed_ensemble,open-world crime,"Tři pevní protagonisté, vhodní pro kontrolu ensemble archetypů.",Outlaw / Trickster / Shadow,3240220,Grand Theft Auto V Enhanced,1.0,55881,0.6906640897621732
45,Mafia: Definitive Edition,Tommy Angelo,fixed_named_single,crime narrative,"Jasný oblouk vzestupu, loajality, zločinu a ztráty iluzí.",Everyman / Outlaw,1030840,Mafia: Definitive Edition,1.0,91793,0.8681054110879914
46,Mafia II: Definitive Edition,Vito Scaletta,fixed_named_single,crime narrative,"Silný protagonista rodiny, ambice a pasti kriminální identity.",Outlaw / Son,1030830,Mafia II: Definitive Edition,1.0,30264,0.7254493787998942
47,Mafia III: Definitive Edition,Lincoln Clay,fixed_named_single,crime narrative,"Pomsta, trauma z války a outsiderství v rasově napjatém světě.",Avenger / Warrior / Outsider,360430,Mafia III: Definitive Edition,1.0,56508,0.5727684575635308
48,L.A. Noire,Cole Phelps,fixed_named_single,detective noir,"Detektivní protagonista viny, kariérismu a morálního pádu.",Investigator / Fallen hero,110800,L.A. Noire,1.0,34026,0.8585787339093635
49,Sleeping Dogs: Definitive Edition,Wei Shen,fixed_named_single,crime action,"Undercover protagonista rozpolcený mezi rolí, loajalitou a identitou.",Double agent / Warrior,307690,Sleeping Dogs: Definitive Edition,1.0,69029,0.9364759738660564
50,Yakuza 0,Kazuma Kiryu / Goro Majima,fixed_dual,crime drama,Dvojice velmi jasných protagonistů s kontrastními archetypy cti a masky.,Honorable warrior / Trickster,638970,Yakuza 0,1.0,73481,0.9566010261155944
51,Yakuza Kiwami,Kazuma Kiryu,fixed_named_single,crime drama,Kontrola jednoho silně definovaného protagonisty v melodramatu cti.,Guardian / Warrior,834530,Yakuza Kiwami,1.0,21877,0.9338117657814142
52,Yakuza: Like a Dragon,Ichiban Kasuga,fixed_named_single,JRPG / crime drama,"Výrazný protagonista idealismu, loajality a pohádkového sebeobrazu.",Fool / Hero / Loyal companion,1235140,Yakuza: Like a Dragon,1.0,33262,0.9442907822740664
53,Like a Dragon: Infinite Wealth,Ichiban Kasuga / Kazuma Kiryu,fixed_dual,JRPG / crime drama,"Dva hrdinové různých generací, vhodné pro srovnání archetypů.",Fool-hero / Old warrior,2072450,Like a Dragon: Infinite Wealth,1.0,19919,0.9163612631156184
54,Judgment,Takayuki Yagami,fixed_named_single,detective action,Jasný detektivní protagonista s tématem viny a spravedlnosti.,Investigator / Redeemer,2058180,Judgment,1.0,9743,0.9432413014471928
55,Lost Judgment,Takayuki Yagami,fixed_named_single,detective action,Pokračující detektivní archetyp s morálními dilematy.,Investigator / Guardian,2058190,Lost Judgment,1.0,7666,0.944169058178972
56,Persona 5 Royal,Joker / Ren Amamiya,fixed_role_single,JRPG,Silný vůdce rebelů a zlodějských masek; jméno částečně kanonizované mimo hru.,Trickster / Rebel / Leader,1687950,Persona 5 Royal,1.0,103144,0.9661928953695804
57,Persona 4 Golden,Yu Narukami / protagonist,fixed_role_single,JRPG,"Tichý, ale jasně centrální protagonista vyšetřovací skupiny.",Investigator / Everyman,1113000,Persona 4 Golden,1.0,78346,0.9701580170015062
58,NieR:Automata,2B / 9S / A2,fixed_ensemble,action RPG,"Tři pevní protagonisté s tématy identity, poslušnosti a vzpoury.",Soldier / Seeker / Rebel,524220,NieR:Automata,1.0,140169,0.8705705255798357
59,NieR Replicant ver.1.22474487139...,Nier,fixed_named_single,action RPG,"Silný protagonista bratrské/otcovské péče, oběti a tragického omylu.",Caregiver / Warrior / Tragic hero,1113560,NieR Replicant ver.1.22474487139...,1.0,25542,0.882233184558766
60,FINAL FANTASY VII REMAKE INTERGRADE,Cloud Strife,fixed_named_single,JRPG,"Ikonický protagonista identity, paměti a maskulinní masky.",Warrior / False self / Seeker,1462040,FINAL FANTASY VII REMAKE INTERGRADE,1.0,37307,0.8866700619186748
61,FINAL FANTASY XV WINDOWS EDITION,Noctis Lucis Caelum,fixed_named_single,JRPG,Princ a vyvolený hrdina s tématem přátelství a oběti.,Prince / Sacrificial hero,637650,FINAL FANTASY XV WINDOWS EDITION,1.0,53688,0.8313217106243481
62,FINAL FANTASY XVI,Clive Rosfield,fixed_named_single,action RPG,"Jasný hrdina viny, bratrství, otroctví a osvobození.",Avenger / Liberator,2515020,FINAL FANTASY XVI,1.0,23043,0.7916937898711105
63,CRISIS CORE –FINAL FANTASY VII– REUNION,Zack Fair,fixed_named_single,action RPG,Velmi čitelný idealistický hrdina a mentorový předobraz.,Innocent hero / Warrior,1608070,CRISIS CORE –FINAL FANTASY VII– REUNION,1.0,7418,0.8987597735238608
64,KINGDOM HEARTS HD 1.5+2.5 ReMIX,Sora,fixed_named_single,action RPG,"Jasný archetyp čistého hrdiny, přátelství a světla.",Innocent / Hero,2552430,KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,1.0,7602,0.8367534859247566
65,Undertale,Frisk,fixed_role_single,RPG,"Minimalistický, ale centrální protagonista volby mezi násilím a soucitem.",Innocent / Trickster / Judge,391540,Undertale,1.0,272932,0.96757434086146
66,OMORI,Sunny / Omori,fixed_dual_aspect,psychological RPG,"Silně archetypální dvojí identita, trauma a vnitřní svět.",Shadow self / Wounded child,1150690,OMORI,1.0,80237,0.9724067450178844
67,Oxenfree,Alex,fixed_named_single,narrative adventure,"Jasná protagonistka dospívání, viny a nadpřirozené komunikace.",Teen seeker / Wounded mediator,388880,Oxenfree,1.0,11840,0.9173141891891892
68,Night in the Woods,Mae Borowski,fixed_named_single,narrative adventure,"Silně charakterizovaná protagonistka návratu domů, deprese a outsiderství.",Outsider / Wounded child,481510,Night in the Woods,1.0,18741,0.94173203137506
69,Firewatch,Henry,fixed_named_single,walking simulator,"Jasný protagonista úniku, viny a vztahové izolace.",Exile / Caregiver,383870,Firewatch,1.0,90438,0.9042327340277316
70,What Remains of Edith Finch,Edith Finch,fixed_named_single,walking simulator,Protagonistka rodinné paměti a dědictví; jasný rámec vypravěčky.,Witness / Keeper of memory,501300,What Remains of Edith Finch,1.0,45053,0.957272545668435
71,Gone Home,Kaitlin Greenbriar,fixed_named_single,walking simulator,Jasná vyšetřující protagonistka domácí paměti a návratu.,Returner / Investigator,232430,Gone Home,1.0,17889,0.7706411761417631
72,The Stanley Parable: Ultra Deluxe,Stanley,fixed_named_single,metanarrative,Jasný protagonista i přes metatextovost; vhodný pro archetyp ovládaného avatara.,Everyman / Pawn / Rebel,1703340,The Stanley Parable: Ultra Deluxe,1.0,30555,0.942398952708231
73,Spiritfarer: Farewell Edition,Stella,fixed_named_single,management / narrative,"Velmi jasná protagonistka péče, smrti a doprovázení.",Caregiver / Psychopomp,972660,Spiritfarer: Farewell Edition,1.0,46417,0.9520649761940668
74,Celeste,Madeline,fixed_named_single,platformer / narrative,Výborná kontrola pro archetyp vnitřního stínu a překonávání sebe sama.,Seeker / Wounded hero,504230,Celeste,1.0,120602,0.974652161655694
75,Hollow Knight,The Knight,fixed_role_single_silent,metroidvania,"Tichý, ale jasně centrální hrdina; vhodný pro archetyp prázdnoty a oběti.",Empty vessel / Sacrifice,367520,Hollow Knight,1.0,415946,0.9704168329542776
76,Ori and the Blind Forest: Definitive Edition,Ori,fixed_named_single,metroidvania,"Jasně identifikovatelný protagonista nevinnosti, přírody a obnovy.",Innocent / Healer,387290,Ori and the Blind Forest: Definitive Edition,1.0,66979,0.9523582018244524
77,Ori and the Will of the Wisps,Ori,fixed_named_single,metroidvania,Pokračování téhož archetypu ve vyspělejší ochranitelské roli.,Innocent / Protector,1057090,Ori and the Will of the Wisps,1.0,136690,0.9656083107762088
78,Psychonauts,Razputin Aquato,fixed_named_single,platformer / adventure,Silně charakterizovaný dětský hrdina vstupující do psychických světů.,Child hero / Trickster,3830,Psychonauts,1.0,17925,0.9506276150627616
79,Psychonauts 2,Razputin Aquato,fixed_named_single,platformer / adventure,Kontrola vývoje stejného protagonisty v instituci a rodinné historii.,Apprentice / Healer,607080,Psychonauts 2,1.0,12943,0.9605964614077108
80,Hades,Zagreus,fixed_named_single,roguelite / narrative,"Jasný protagonista útěku z podsvětí, synovského konfliktu a identity.",Rebel son / Seeker,1145360,Hades,1.0,279741,0.9824409006902812
81,Hades II,Melinoë,fixed_named_single,roguelite / narrative,"Jasná protagonistka lovu, dědictví a pomsty v mytologickém rámci.",Witch / Avenger / Daughter,1145350,Hades II,1.0,64132,0.9487307428428864
82,Bastion,The Kid,fixed_role_single,action RPG,Centrální protagonista postapokalyptické obnovy a volby.,Survivor / Restorer,107100,Bastion,1.0,37392,0.953706675224647
83,Transistor,Red,fixed_named_single,action RPG,"Silná protagonistka hlasu, ztráty a vztahu se zbraní/partnerem.",Artist / Avenger,237930,Transistor,1.0,30592,0.9409649581589958
84,Katana ZERO,Subject Zero,fixed_named_single,action / narrative,"Jasný protagonista paměti, drog, násilí a manipulace.",Assassin / Broken weapon,460950,Katana ZERO,1.0,71069,0.9803430468980848
85,Shovel Knight: Treasure Trove,Shovel Knight,fixed_named_single,platformer,"Klasicky čitelný rytířský protagonista, vhodný jako jednodušší archetypální kontrola.",Knight / Loyal lover,250760,Shovel Knight: Treasure Trove,1.0,16112,0.958167825223436
86,Cuphead,Cuphead,fixed_named_single,run and gun,"Jasný cartoonový protagonista hazardu, trestu a splácení dluhu.",Fool / Trickster,268910,Cuphead,1.0,186835,0.962849573152782
87,Stray,Cat,fixed_nonhuman_single,adventure,"Netypický, ale jasný ne-lidský protagonista; dobrá kontrola nehumanoidního archetypu.",Wanderer / Innocent,1332010,Stray,1.0,156607,0.9725746614136022
88,Grim Fandango Remastered,Manny Calavera,fixed_named_single,adventure,"Silně definovaný noir protagonista smrti, viny a vykoupení.",Trickster / Redeemer,316790,Grim Fandango Remastered,1.0,8202,0.9062423799073396
89,Return to Monkey Island,Guybrush Threepwood,fixed_named_single,adventure,Jasný komediální dobrodruh a aspirující pirát.,Fool / Trickster / Explorer,2060130,Return to Monkey Island,1.0,8518,0.9162949049072552
90,The Secret of Monkey Island: Special Edition,Guybrush Threepwood,fixed_named_single,adventure,Klasická kontrola stejného komediálního protagonisty v počátku archetypu.,Fool / Seeker,32360,The Secret of Monkey Island: Special Edition,1.0,5799,0.9534402483186756
91,Syberia,Kate Walker,fixed_named_single,adventure,Jasná protagonistka proměny z právničky v poutnici.,Seeker / Wanderer,46500,Syberia,1.0,6305,0.8827914353687549
92,The Longest Journey,April Ryan,fixed_named_single,adventure,"Silná protagonistka přechodu mezi světy, identity a tvořivosti.",Portal traveler / Chosen one,6310,The Longest Journey,1.0,2030,0.9
93,Kathy Rain,Kathy Rain,fixed_named_single,detective adventure,Jasná detektivní protagonistka rodinného tajemství a rebelství.,Investigator / Rebel,370910,Kathy Rain,1.0,3778,0.9205929062996294
94,Sherlock Holmes: Crimes and Punishments,Sherlock Holmes,fixed_named_single,detective adventure,Extrémně jasný vyšetřovatelský archetyp.,Sage / Investigator,241260,Sherlock Holmes: Crimes and Punishments,1.0,7191,0.8995967181198721
95,The Thaumaturge,Wiktor Szulski,fixed_named_single,RPG / mystery,"Jasný protagonista okultního vyšetřování, traumatu a rodinné minulosti.",Occult investigator / Shadow,1684350,The Thaumaturge,1.0,4067,0.8345217605114335
96,Vampyr,Jonathan Reid,fixed_named_single,action RPG,Lékař-upír jako velmi čitelný morální a monstrózní archetyp.,Healer / Monster / Shadow,427290,Vampyr,1.0,22084,0.7731842057598262
97,Banishers: Ghosts of New Eden,Red mac Raith / Antea Duarte,fixed_dual,action RPG,"Dvojice lovců duchů s tématem lásky, smrti a oběti.",Lover / Exorcist / Psychopomp,1493640,Banishers: Ghosts of New Eden,1.0,6128,0.8629242819843342
98,Kingdom Come: Deliverance,Henry,fixed_named_single,historical RPG,"Jasný protagonista z obyčejného původu, silný oblouk zrání.",Everyman / Apprentice / Hero,379430,Kingdom Come: Deliverance,1.0,162206,0.841189598411896
99,Pentiment,Andreas Maler,fixed_named_single,narrative adventure,"Silný protagonista vzdělance, svědka, viny a historické paměti.",Artist / Witness / Seeker,1205520,Pentiment,1.0,7746,0.9526207074619158
100,SOMA,Simon Jarrett,fixed_named_single,sci-fi horror,"Jasný protagonista identity, těla a kopie vědomí.",Wounded self / Seeker / Ghost,282140,SOMA,1.0,45365,0.959550314118814
