appid,name,has_clear_main_protagonist,protagonist_name,protagonist_type,protagonist_confidence_0_3,primary_archetype,secondary_archetype,tertiary_archetype,archetype_confidence_0_3,archetype_suitability_0_3,shadow_load_0_3,player_projection_0_3,narrative_complexity_0_3,suggested_include_in_final_corpus,exclusion_reason,needs_manual_review,evidence_basis,protagonist_notes,archetype_notes,reason_short,custom_id
1150690,OMORI,yes,Sunny / Omori,fixed_dual,3,Shadow/Antihero,Everyman/Orphan,Innocent,3,3,3,1,3,yes,none,True,control_seed,Sunny and Omori function as real self and alter ego.,"Traumatized child-self split between repression, guilt, and lost innocence.",Clear but psychologically dual protagonist.,steam-v003-chunk-00001-rows-1-50
1888930,The Last of Us Part I,yes,Joel / Ellie,fixed_dual,3,Caregiver/Guardian,Shadow/Antihero,Hero/Warrior,3,3,3,1,3,yes,none,False,control_seed,Joel is primary playable for most of the game; Ellie is co-protagonist and playable later.,Protective bond drives a morally fraught survival journey.,Clear dual protagonist arc.,steam-v003-chunk-00001-rows-1-50
750920,Shadow of the Tomb Raider: Definitive Edition,yes,Lara Croft,fixed_named_single,3,Explorer/Seeker,Hero/Warrior,Shadow/Antihero,3,3,2,1,2,yes,none,False,control_seed,"Lara Croft is a fixed, named protagonist.",Explorer-warrior confronts the destructive consequences of obsession.,Clear fixed protagonist.,steam-v003-chunk-00001-rows-1-50
1113000,Persona 4 Golden,yes,Yu Narukami / protagonist,silent_fixed_protagonist,3,Sage/Investigator,Ruler/Leader,Everyman/Orphan,3,3,1,2,3,yes,none,False,control_seed,"Yu is a mostly silent, nameable but narratively defined protagonist.",Student detective-leader uncovers truth through bonds and investigation.,Clear silent RPG protagonist.,steam-v003-chunk-00001-rows-1-50
638970,Yakuza 0,yes,Kazuma Kiryu / Goro Majima,fixed_dual,3,Hero/Warrior,Shadow/Antihero,Rebel/Outlaw,3,3,2,1,3,yes,none,False,control_seed,Kiryu and Majima are alternating fixed protagonists.,Honorable underworld fighters navigate criminal systems and personal codes.,Clear dual protagonists.,steam-v003-chunk-00001-rows-1-50
460950,Katana ZERO,yes,Subject Zero,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Sage/Investigator,3,3,3,1,3,yes,none,False,control_seed,Subject Zero is a fixed assassin-protagonist with a fragmented past.,Traumatized killer investigates manipulation and memory while committing violence.,Clear antihero protagonist.,steam-v003-chunk-00001-rows-1-50
307690,Sleeping Dogs: Definitive Edition,yes,Wei Shen,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Sage/Investigator,3,3,2,1,2,yes,none,False,control_seed,Wei Shen is a fixed undercover-cop protagonist.,Undercover warrior-investigator risks moral contamination within criminal life.,Clear fixed protagonist.,steam-v003-chunk-00001-rows-1-50
387290,Ori and the Blind Forest: Definitive Edition,yes,Ori,nonhuman_fixed_protagonist,3,Innocent,Hero/Warrior,Caregiver/Guardian,3,3,0,1,2,yes,none,False,control_seed,Ori is a fixed spirit protagonist.,Pure spirit child undertakes a heroic quest to restore the forest.,Clear nonhuman protagonist.,steam-v003-chunk-00001-rows-1-50
1145350,Hades II,yes,Melinoë,fixed_named_single,3,Hero/Warrior,Magician/Transformer,Rebel/Outlaw,2,3,1,1,2,yes,none,True,general_knowledge,Melinoë is the fixed witch-princess protagonist.,Occult warrior seeks to defeat Chronos and restore her family.,Clear protagonist; ongoing game may evolve.,steam-v003-chunk-00001-rows-1-50
403640,Dishonored 2,yes,Emily Kaldwin / Corvo Attano,fixed_dual,3,Ruler/Leader,Hero/Warrior,Shadow/Antihero,3,3,2,2,3,yes,none,False,control_seed,"Player chooses between two fixed protagonists, both central to the story.","Deposed ruler and protector reclaim power through stealth, violence, or mercy.",Clear selectable fixed protagonists.,steam-v003-chunk-00001-rows-1-50
409710,BioShock Remastered,yes,Jack,silent_fixed_protagonist,3,Everyman/Orphan,Shadow/Antihero,Hero/Warrior,2,3,2,3,3,yes,none,False,control_seed,Jack is a fixed but minimally voiced protagonist.,Seemingly ordinary survivor discovers engineered identity and coercion.,Clear but intentionally blank protagonist.,steam-v003-chunk-00001-rows-1-50
204100,Max Payne 3,yes,Max Payne,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Everyman/Orphan,3,3,3,1,2,yes,none,False,control_seed,"Max Payne is a fixed, named protagonist.","Addicted, grief-haunted gunman seeks purpose through violent protection.",Clear antihero protagonist.,steam-v003-chunk-00001-rows-1-50
360430,Mafia III: Definitive Edition,yes,Lincoln Clay,fixed_named_single,3,Rebel/Outlaw,Shadow/Antihero,Hero/Warrior,3,3,3,1,2,yes,none,False,control_seed,Lincoln Clay is a fixed revenge-driven protagonist.,Outlaw revolutionary wages violent revenge against organized crime and racist power.,Clear fixed protagonist.,steam-v003-chunk-00001-rows-1-50
1328670,Mass Effect Legendary Edition,yes,Commander Shepard,customizable_but_defined,3,Hero/Warrior,Ruler/Leader,Explorer/Seeker,3,3,1,2,3,yes,none,False,control_seed,Shepard is customizable but narratively defined as a commander and savior figure.,Military hero-leader explores galactic threats and unites factions.,Clear customizable defined protagonist.,steam-v003-chunk-00001-rows-1-50
3240220,Grand Theft Auto V Enhanced,yes,Michael / Franklin / Trevor,fixed_ensemble,3,Shadow/Antihero,Rebel/Outlaw,Jester/Trickster,3,3,3,1,2,yes,none,False,control_seed,Three fixed criminal protagonists share the campaign.,"Criminal antihero ensemble mixes outlaw ambition, satire, and chaos.",Clear fixed ensemble protagonists.,steam-v003-chunk-00001-rows-1-50
637650,FINAL FANTASY XV WINDOWS EDITION,yes,Noctis Lucis Caelum,fixed_named_single,3,Ruler/Leader,Hero/Warrior,Lover,3,3,1,1,2,yes,none,False,control_seed,Noctis is a fixed prince and primary protagonist.,"Reluctant royal heir becomes sacrificial king-hero, shaped by bonds and devotion.",Clear fixed protagonist.,steam-v003-chunk-00001-rows-1-50
480490,Prey,yes,Morgan Yu,customizable_but_defined,3,Sage/Investigator,Explorer/Seeker,Shadow/Antihero,3,3,2,2,3,yes,none,False,control_seed,Morgan Yu has selectable gender but a defined role and backstory.,Scientist-investigator uncovers identity manipulation and ethically fraught experiments.,Clear customizable defined protagonist.,steam-v003-chunk-00001-rows-1-50
870780,CONTROL Ultimate Edition,yes,Jesse Faden,fixed_named_single,3,Magician/Transformer,Sage/Investigator,Hero/Warrior,3,3,1,1,3,yes,none,False,control_seed,"Jesse Faden is a fixed, named protagonist.",Paranormal power-bearer transforms into Bureau director while investigating occult truth.,Clear supernatural protagonist.,steam-v003-chunk-00001-rows-1-50
108710,Alan Wake,yes,Alan Wake,fixed_named_single,3,Creator/Artist,Sage/Investigator,Shadow/Antihero,3,3,3,1,3,yes,none,False,control_seed,Alan Wake is a fixed writer-protagonist.,Author investigates a reality-warping nightmare shaped by writing and inner darkness.,Clear creator protagonist.,steam-v003-chunk-00001-rows-1-50
972660,Spiritfarer: Farewell Edition,yes,Stella,fixed_named_single,3,Caregiver/Guardian,Magician/Transformer,Explorer/Seeker,3,3,0,1,3,yes,none,False,control_seed,Stella is a fixed ferrymaster protagonist despite management mechanics.,"Gentle guardian ferries spirits, nurtures them, and transforms grief into farewell.",Clear narrative protagonist.,steam-v003-chunk-00001-rows-1-50
282140,SOMA,yes,Simon Jarrett,fixed_named_single,3,Everyman/Orphan,Sage/Investigator,Shadow/Antihero,3,3,2,2,3,yes,none,False,control_seed,Simon Jarrett is a fixed first-person protagonist.,"Ordinary man investigates posthuman identity, isolation, and existential horror.",Clear philosophical protagonist.,steam-v003-chunk-00001-rows-1-50
