control_id,steam_search_title,protagonist,protagonist_clarity,broad_bucket,why_useful_for_archetype_control,preliminary_archetype_seed_note,matched_appid,matched_name,match_score,matched_in_source_catalog
88,Grim Fandango Remastered,Manny Calavera,fixed_named_single,adventure,"Silně definovaný noir protagonista smrti, viny a vykoupení.",Trickster / Redeemer,316790,Grim Fandango Remastered,1.0,True
89,Return to Monkey Island,Guybrush Threepwood,fixed_named_single,adventure,Jasný komediální dobrodruh a aspirující pirát.,Fool / Trickster / Explorer,2060130,Return to Monkey Island,1.0,True
90,The Secret of Monkey Island: Special Edition,Guybrush Threepwood,fixed_named_single,adventure,Klasická kontrola stejného komediálního protagonisty v počátku archetypu.,Fool / Seeker,32360,The Secret of Monkey Island: Special Edition,1.0,True
91,Syberia,Kate Walker,fixed_named_single,adventure,Jasná protagonistka proměny z právničky v poutnici.,Seeker / Wanderer,46500,Syberia,1.0,True
92,The Longest Journey,April Ryan,fixed_named_single,adventure,"Silná protagonistka přechodu mezi světy, identity a tvořivosti.",Portal traveler / Chosen one,6310,The Longest Journey,1.0,True
93,Kathy Rain,Kathy Rain,fixed_named_single,detective adventure,Jasná detektivní protagonistka rodinného tajemství a rebelství.,Investigator / Rebel,370910,Kathy Rain,1.0,True
94,Sherlock Holmes: Crimes and Punishments,Sherlock Holmes,fixed_named_single,detective adventure,Extrémně jasný vyšetřovatelský archetyp.,Sage / Investigator,241260,Sherlock Holmes: Crimes and Punishments,1.0,True
95,The Thaumaturge,Wiktor Szulski,fixed_named_single,RPG / mystery,"Jasný protagonista okultního vyšetřování, traumatu a rodinné minulosti.",Occult investigator / Shadow,1684350,The Thaumaturge,1.0,True
96,Vampyr,Jonathan Reid,fixed_named_single,action RPG,Lékař-upír jako velmi čitelný morální a monstrózní archetyp.,Healer / Monster / Shadow,427290,Vampyr,1.0,True
97,Banishers: Ghosts of New Eden,Red mac Raith / Antea Duarte,fixed_dual,action RPG,"Dvojice lovců duchů s tématem lásky, smrti a oběti.",Lover / Exorcist / Psychopomp,1493640,Banishers: Ghosts of New Eden,1.0,True
98,Kingdom Come: Deliverance,Henry,fixed_named_single,historical RPG,"Jasný protagonista z obyčejného původu, silný oblouk zrání.",Everyman / Apprentice / Hero,379430,Kingdom Come: Deliverance,1.0,True
99,Pentiment,Andreas Maler,fixed_named_single,narrative adventure,"Silný protagonista vzdělance, svědka, viny a historické paměti.",Artist / Witness / Seeker,1205520,Pentiment,1.0,True
100,SOMA,Simon Jarrett,fixed_named_single,sci-fi horror,"Jasný protagonista identity, těla a kopie vědomí.",Wounded self / Seeker / Ghost,282140,SOMA,1.0,True
