control_id,steam_search_title,protagonist,protagonist_clarity,broad_bucket,why_useful_for_archetype_control,preliminary_archetype_seed_note,matched_appid,matched_name,match_score,in_refined_v2,refined_v2_rank
35,Horizon Forbidden West Complete Edition,Aloy,fixed_named_single,open-world action RPG,Pokračování stejné protagonistky v roli zachránkyně světa.,Hero / Protector,2420110,Horizon Forbidden West Complete Edition,1.0,False,
36,God of War,Kratos / Atreus,fixed_dual,action adventure,"Dvojice otec–syn, velmi vhodná pro archetyp rodiče, válečníka a dědice.",Warrior / Father / Child,1593500,God of War,1.0,False,
37,God of War Ragnarök,Kratos / Atreus,fixed_dual,action adventure,Pokračující archetyp otce a syna s tématem osudu a emancipace.,Father / Heir / Warrior,2322010,God of War Ragnarök,1.0,False,
38,Marvel's Spider-Man Remastered,Peter Parker,fixed_named_single,superhero action,Kanonický hrdina s jasným archetypem odpovědnosti a oběti.,Hero / Caregiver,1817070,Marvel’s Spider-Man Remastered,1.0,False,
39,Marvel's Spider-Man: Miles Morales,Miles Morales,fixed_named_single,superhero action,"Mladý nástupce a hrdina identity, komunity a dospívání.",Heir / Hero / Everyman,1817190,Marvel’s Spider-Man: Miles Morales,1.0,False,
40,The Last of Us Part I,Joel / Ellie,fixed_dual,survival narrative,"Silná dvojice pro archetyp otce, dítěte, přežití a morálního stínu.",Father / Innocent / Shadow,1888930,The Last of Us Part I,1.0,False,
41,The Last of Us Part II Remastered,Ellie / Abby,fixed_dual,survival narrative,"Duální protagonistky pomsty, zrcadlení a rozkladu heroismu.",Avenger / Shadow / Mirror,2531310,The Last of Us Part II Remastered,1.0,False,
42,Days Gone,Deacon St. John,fixed_named_single,open-world survival,"Jasný protagonista loajality, traumatu a ztraceného domova.",Survivor / Lover / Outlaw,1259420,Days Gone,1.0,False,
43,Red Dead Redemption 2,Arthur Morgan,fixed_named_single,open-world narrative,"Velmi silný antihrdina s obloukem viny, loajality a vykoupení.",Outlaw / Redeemed hero,1174180,Red Dead Redemption 2,1.0,False,
44,Grand Theft Auto V,Michael / Franklin / Trevor,fixed_ensemble,open-world crime,"Tři pevní protagonisté, vhodní pro kontrolu ensemble archetypů.",Outlaw / Trickster / Shadow,3240220,Grand Theft Auto V Enhanced,1.0,False,
45,Mafia: Definitive Edition,Tommy Angelo,fixed_named_single,crime narrative,"Jasný oblouk vzestupu, loajality, zločinu a ztráty iluzí.",Everyman / Outlaw,1030840,Mafia: Definitive Edition,1.0,False,
46,Mafia II: Definitive Edition,Vito Scaletta,fixed_named_single,crime narrative,"Silný protagonista rodiny, ambice a pasti kriminální identity.",Outlaw / Son,1030830,Mafia II: Definitive Edition,1.0,False,
47,Mafia III: Definitive Edition,Lincoln Clay,fixed_named_single,crime narrative,"Pomsta, trauma z války a outsiderství v rasově napjatém světě.",Avenger / Warrior / Outsider,360430,Mafia III: Definitive Edition,1.0,False,
48,L.A. Noire,Cole Phelps,fixed_named_single,detective noir,"Detektivní protagonista viny, kariérismu a morálního pádu.",Investigator / Fallen hero,110800,L.A. Noire,1.0,False,
49,Sleeping Dogs: Definitive Edition,Wei Shen,fixed_named_single,crime action,"Undercover protagonista rozpolcený mezi rolí, loajalitou a identitou.",Double agent / Warrior,307690,Sleeping Dogs: Definitive Edition,1.0,False,
50,Yakuza 0,Kazuma Kiryu / Goro Majima,fixed_dual,crime drama,Dvojice velmi jasných protagonistů s kontrastními archetypy cti a masky.,Honorable warrior / Trickster,638970,Yakuza 0,1.0,False,
51,Yakuza Kiwami,Kazuma Kiryu,fixed_named_single,crime drama,Kontrola jednoho silně definovaného protagonisty v melodramatu cti.,Guardian / Warrior,834530,Yakuza Kiwami,1.0,False,
52,Yakuza: Like a Dragon,Ichiban Kasuga,fixed_named_single,JRPG / crime drama,"Výrazný protagonista idealismu, loajality a pohádkového sebeobrazu.",Fool / Hero / Loyal companion,1235140,Yakuza: Like a Dragon,1.0,False,
53,Like a Dragon: Infinite Wealth,Ichiban Kasuga / Kazuma Kiryu,fixed_dual,JRPG / crime drama,"Dva hrdinové různých generací, vhodné pro srovnání archetypů.",Fool-hero / Old warrior,2072450,Like a Dragon: Infinite Wealth,1.0,False,
54,Judgment,Takayuki Yagami,fixed_named_single,detective action,Jasný detektivní protagonista s tématem viny a spravedlnosti.,Investigator / Redeemer,2058180,Judgment,1.0,False,
55,Lost Judgment,Takayuki Yagami,fixed_named_single,detective action,Pokračující detektivní archetyp s morálními dilematy.,Investigator / Guardian,2058190,Lost Judgment,1.0,False,
58,NieR:Automata,2B / 9S / A2,fixed_ensemble,action RPG,"Tři pevní protagonisté s tématy identity, poslušnosti a vzpoury.",Soldier / Seeker / Rebel,524220,NieR:Automata,1.0,False,
59,NieR Replicant ver.1.22474487139...,Nier,fixed_named_single,action RPG,"Silný protagonista bratrské/otcovské péče, oběti a tragického omylu.",Caregiver / Warrior / Tragic hero,1113560,NieR Replicant ver.1.22474487139...,1.0,False,
60,FINAL FANTASY VII REMAKE INTERGRADE,Cloud Strife,fixed_named_single,JRPG,"Ikonický protagonista identity, paměti a maskulinní masky.",Warrior / False self / Seeker,1462040,FINAL FANTASY VII REMAKE INTERGRADE,1.0,False,
61,FINAL FANTASY XV WINDOWS EDITION,Noctis Lucis Caelum,fixed_named_single,JRPG,Princ a vyvolený hrdina s tématem přátelství a oběti.,Prince / Sacrificial hero,637650,FINAL FANTASY XV WINDOWS EDITION,1.0,False,
62,FINAL FANTASY XVI,Clive Rosfield,fixed_named_single,action RPG,"Jasný hrdina viny, bratrství, otroctví a osvobození.",Avenger / Liberator,2515020,FINAL FANTASY XVI,1.0,False,
63,CRISIS CORE –FINAL FANTASY VII– REUNION,Zack Fair,fixed_named_single,action RPG,Velmi čitelný idealistický hrdina a mentorový předobraz.,Innocent hero / Warrior,1608070,CRISIS CORE –FINAL FANTASY VII– REUNION,1.0,False,
64,KINGDOM HEARTS HD 1.5+2.5 ReMIX,Sora,fixed_named_single,action RPG,"Jasný archetyp čistého hrdiny, přátelství a světla.",Innocent / Hero,2552430,KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,1.0,False,
69,Firewatch,Henry,fixed_named_single,walking simulator,"Jasný protagonista úniku, viny a vztahové izolace.",Exile / Caregiver,383870,Firewatch,1.0,False,
73,Spiritfarer: Farewell Edition,Stella,fixed_named_single,management / narrative,"Velmi jasná protagonistka péče, smrti a doprovázení.",Caregiver / Psychopomp,972660,Spiritfarer: Farewell Edition,1.0,False,
74,Celeste,Madeline,fixed_named_single,platformer / narrative,Výborná kontrola pro archetyp vnitřního stínu a překonávání sebe sama.,Seeker / Wounded hero,504230,Celeste,1.0,False,
76,Ori and the Blind Forest: Definitive Edition,Ori,fixed_named_single,metroidvania,"Jasně identifikovatelný protagonista nevinnosti, přírody a obnovy.",Innocent / Healer,387290,Ori and the Blind Forest: Definitive Edition,1.0,False,
77,Ori and the Will of the Wisps,Ori,fixed_named_single,metroidvania,Pokračování téhož archetypu ve vyspělejší ochranitelské roli.,Innocent / Protector,1057090,Ori and the Will of the Wisps,1.0,False,
78,Psychonauts,Razputin Aquato,fixed_named_single,platformer / adventure,Silně charakterizovaný dětský hrdina vstupující do psychických světů.,Child hero / Trickster,3830,Psychonauts,1.0,False,
79,Psychonauts 2,Razputin Aquato,fixed_named_single,platformer / adventure,Kontrola vývoje stejného protagonisty v instituci a rodinné historii.,Apprentice / Healer,607080,Psychonauts 2,1.0,False,
80,Hades,Zagreus,fixed_named_single,roguelite / narrative,"Jasný protagonista útěku z podsvětí, synovského konfliktu a identity.",Rebel son / Seeker,1145360,Hades,1.0,False,
81,Hades II,Melinoë,fixed_named_single,roguelite / narrative,"Jasná protagonistka lovu, dědictví a pomsty v mytologickém rámci.",Witch / Avenger / Daughter,1145350,Hades II,1.0,False,
82,Bastion,The Kid,fixed_role_single,action RPG,Centrální protagonista postapokalyptické obnovy a volby.,Survivor / Restorer,107100,Bastion,1.0,False,
83,Transistor,Red,fixed_named_single,action RPG,"Silná protagonistka hlasu, ztráty a vztahu se zbraní/partnerem.",Artist / Avenger,237930,Transistor,1.0,False,
84,Katana ZERO,Subject Zero,fixed_named_single,action / narrative,"Jasný protagonista paměti, drog, násilí a manipulace.",Assassin / Broken weapon,460950,Katana ZERO,1.0,False,
85,Shovel Knight: Treasure Trove,Shovel Knight,fixed_named_single,platformer,"Klasicky čitelný rytířský protagonista, vhodný jako jednodušší archetypální kontrola.",Knight / Loyal lover,250760,Shovel Knight: Treasure Trove,1.0,False,
86,Cuphead,Cuphead,fixed_named_single,run and gun,"Jasný cartoonový protagonista hazardu, trestu a splácení dluhu.",Fool / Trickster,268910,Cuphead,1.0,False,
87,Stray,Cat,fixed_nonhuman_single,adventure,"Netypický, ale jasný ne-lidský protagonista; dobrá kontrola nehumanoidního archetypu.",Wanderer / Innocent,1332010,Stray,1.0,False,
88,Grim Fandango Remastered,Manny Calavera,fixed_named_single,adventure,"Silně definovaný noir protagonista smrti, viny a vykoupení.",Trickster / Redeemer,316790,Grim Fandango Remastered,1.0,False,
90,The Secret of Monkey Island: Special Edition,Guybrush Threepwood,fixed_named_single,adventure,Klasická kontrola stejného komediálního protagonisty v počátku archetypu.,Fool / Seeker,32360,The Secret of Monkey Island: Special Edition,1.0,False,
91,Syberia,Kate Walker,fixed_named_single,adventure,Jasná protagonistka proměny z právničky v poutnici.,Seeker / Wanderer,46500,Syberia,1.0,False,
92,The Longest Journey,April Ryan,fixed_named_single,adventure,"Silná protagonistka přechodu mezi světy, identity a tvořivosti.",Portal traveler / Chosen one,6310,The Longest Journey,1.0,False,
100,SOMA,Simon Jarrett,fixed_named_single,sci-fi horror,"Jasný protagonista identity, těla a kopie vědomí.",Wounded self / Seeker / Ghost,282140,SOMA,1.0,False,
